id,gesture,dist,shading,y,cond,comicleft
18,0,1,0,0,1,1
18,1,0,1,0,1,1
19,2,1,0,0,1,1
19,2,2,0,0,1,1
19,0,0,2,-2,1,1
19,1,0,1,2,1,1
19,2,1,0,-2,1,1
20,2,1,2,-2,1,1
20,2,2,0,2,1,1
20,1,1,0,1,1,1
20,1,1,1,0,1,1
20,2,0,1,0,1,1
21,2,2,0,-1,1,1
21,2,2,1,1,1,1
21,1,0,1,2,1,1
21,1,0,2,1,1,1
21,1,1,0,2,1,1
22,1,2,1,2,1,1
22,2,2,2,3,1,1
22,0,2,0,0,1,1
22,1,1,0,-1,1,1
22,1,1,2,1,1,1
23,2,1,1,2,1,1
23,0,1,2,1,1,1
23,0,2,1,2,1,1
23,1,2,2,3,1,1
23,2,1,2,3,1,1
24,0,1,1,-2,1,1
24,0,1,2,-3,1,1
24,0,2,2,3,1,1
24,1,2,0,-3,1,1
24,1,2,1,3,1,1
25,0,0,1,1,1,1
25,0,1,2,2,1,1
25,1,1,2,1,1,1
25,2,1,2,1,1,1
25,1,1,2,1,1,1
26,1,2,2,2,1,1
26,2,1,0,2,1,1
26,2,1,1,1,1,1
26,2,2,0,1,1,1
26,0,0,0,1,1,1
27,1,0,0,1,1,1
27,2,0,2,2,1,1
27,2,1,1,1,1,1
27,2,1,2,1,1,1
27,1,0,0,1,1,1
28,1,2,2,1,1,1
28,2,1,2,1,1,1
28,2,2,1,2,1,1
28,0,1,1,2,1,1
28,1,0,1,1,1,1
29,1,1,2,1,1,1
29,2,0,0,-2,1,1
29,2,1,0,2,1,1
29,0,1,2,1,1,1
29,0,2,0,1,1,1
30,1,0,0,2,1,1
30,1,1,1,2,1,1
30,2,2,0,1,1,1
30,0,0,1,0,1,1
30,0,2,2,1,1,1
31,1,1,0,1,1,1
31,1,2,2,1,1,1
31,2,1,1,-1,1,1
31,1,1,1,-2,1,1
31,2,0,1,-2,1,1
32,2,1,0,-2,1,1
32,2,2,2,-2,1,1
32,0,0,1,1,1,1
32,1,0,1,1,1,1
32,1,0,2,1,1,1
33,1,1,1,-1,1,1
33,1,0,2,3,1,1
33,1,1,2,3,1,1
33,1,2,1,3,1,1
33,2,0,0,-3,1,1
